"ClassNo","ClassName_fr","FXY","ElementName_fr","BUFR_Unit_fr","BUFR_Scale","BUFR_ReferenceValue","BUFR_DataWidth_Bits","CREX_Unit_fr","CREX_Scale","CREX_DataWidth_Char","Note_fr","noteIDs","Status"
"25","Classe 25 — Informations sur le traitement","025042","Méthode de transmission de la vitesse de la plate-forme mobile","Table de code","0","0","2","Table de code","0","1","","","Operational"
"25","Classe 25 — Informations sur le traitement","025043","Intervalle d'échantillonnage des vagues (temps)","s","4","0","15","s","4","5","","","Operational"
"25","Classe 25 — Informations sur le traitement","025044","Intervalle d'échantillonnage des vagues (espace)","m","2","0","14","m","2","5","","","Operational"
"25","Classe 25 — Informations sur le traitement","025045","Combinaison de canaux de sondeur HIRS","Table d'indicateurs","0","0","21","Table d'indicateurs","0","7","","","Operational"
"25","Classe 25 — Informations sur le traitement","025046","Combinaison de canaux de sondeur MSU","Table d'indicateurs","0","0","5","Table d'indicateurs","0","2","","","Operational"
"25","Classe 25 — Informations sur le traitement","025047","Combinaison de canaux de sondeur SSU","Table d'indicateurs","0","0","4","Table d'indicateurs","0","2","","","Operational"
"25","Classe 25 — Informations sur le traitement","025048","Combinaison de canaux de sondeur AMSU-A","Table d'indicateurs","0","0","16","Table d'indicateurs","0","6","","","Operational"
"25","Classe 25 — Informations sur le traitement","025049","Combinaison de canaux de sondeur AMSU-B","Table d'indicateurs","0","0","6","Table d'indicateurs","0","2","","","Operational"
"25","Classe 25 — Informations sur le traitement","025050","Indice de qualité de la composante principale","Numérique","4","-131072","18","Numérique","4","6","","","Operational"
"25","Classe 25 — Informations sur le traitement","025051","Combinaison de canaux de radiomètre AVHRR","Table d'indicateurs","0","0","7","Table d'indicateurs","0","3","","","Operational"
